Player_id,player_name,base_price_in_lakhs,sold_price,retired_player,retained_players,retained_team,sold,overseas,batsman,bowler,all_rounder,batting_hand,bowling_hand,spinner_or_medium_pacer,is_wicket_keeper,batting_average,powerplay_runs,powerplay_ballfaced,powerplay_strikerate,midover_runs,midover_ballfaced,midover_strikerate,endover_runs,endover_ballfaced,endover_strikerate,0s,1s,2s,3s,4s,6s,outs,powerplay_boundary,end_over_boundary,30s,50s,100s,deliveries,wickets,overs,total_runs_conceded,bowling_economy,bowling_strikerate,powerplay_deliveries,powerplay_wickets,powerplay_runs_conceded,powerplay_dotballs,powerplay_strike_rate,powerplay_economy,midover_deliveries,midover_wickets,midover_runs_conceded,mid_over_dotballs,mid_over_strikerate,midover_economy,endover_deliveries,endover_wickets,endover_runs_conceded,endover_dot_balls,endover_strike_rate,endover_economy,DC_batting_pf,DC_bowling_pf,RCB_batting_pf,RCB_bowling_pf,KKR_batting_pf,KKR_bowling_pf,CSK_batting_pf,CSK_bowwling_pf,GT_batting_pf,GT_bowling_pf,PK_batting_pf,PK_bowling_pf,MI_batting_pf,MI_bowling_pf,LSG_batting_pf,LSG_bowling_pf,RR_batting_pf,RR_bowling_pf,SRH_batting_pf,SRH_bowling_pf,pf
1,Ashish Reddy,20,20,0,0,,0,0,0,0,1,1,1,M,0,0.063492063492064,0,0,0,0.019147621988882,0.013781223083549,0.645833333333333,0.012327773749094,0.017010935601458,0.303575,0.009656652360515,0.010903426791277,0.004444444444444,0,0.004926108374384,0.025641025641026,0.020618556701031,0,0.007692307692308,0.03448275862069,0,0,0.009319286871961,0.007518796992481,0.009732360097324,0,0,0.095171101088261,0,0,0,0,0,0,0.013706793802146,0.01123595505618,0,0.007861635220126,0.100625628910181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740800792563373
2,Ayush Badoni,20,20,0,1,LSG,0,0,1,0,0,1,1,S,0,0.062420634920635,0.0014064697609,0.005402160864346,0.1111,0.036442248301421,0.049095607235142,0.345033333333333,0.080493110949964,0.088699878493317,0.380125,0.050429184549356,0.048286604361371,0.048888888888889,0.066666666666667,0.027093596059113,0.044871794871795,0.092783505154639,0,0.061538461538462,0,0.029411764705882,0,0.004862236628849,0.015037593984962,0.004866180048662,0,0,0.024827243762155,0,0,0,0,0,0,0.00715137067938,0.02247191011236,0,0.004716981132075,0.026250164063525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37375415282392,0.194444444444444,0,0,0.240594814412811,0,0,0,0.636895797266253
3,Aniket Choudhary,30,30,0,0,,0,0,0,1,0,1,0,M,0,0.01984126984127,0,0,0,0,0,0,0.018129079042785,0.024301336573512,0.3125,0.004291845493562,0.0101246105919,0.004444444444444,0,0.002463054187192,0.006410256410256,0.020618556701031,0,0.015384615384615,0,0,0,0.043760129659644,0.022556390977444,0.043795620437956,0.043711931207453,0.42375,0.14896346257293,0.038993710691824,0.058823529411765,0.026748971193416,0.045685279187817,0.063149317579955,0.279444444444444,0.019070321811681,0,0.032,0.011006289308176,0,0.707547169811321,0.028183716075157,0.015151515151515,0.031545741324921,0.024647887323944,0.45,0.344173441734417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037970348884055
4,Akila Dananjaya,20,50,0,0,,0,0,0,0,1,0,1,S,0,0.015873015873016,0,0,0,0,0,0,0.002900652646846,0.006075334143378,0.2,0.002145922746781,0.001557632398754,0.004444444444444,0,0,0,0,0,0,0,0,0,0.010129659643436,0,0.009732360097324,0.012540308133286,0.546875,0,0.007547169811321,0,0,0.00507614213198,0,0,0.011323003575685,0,0.02,0.006289308176101,0,0.744609164420485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018773668519862
5,Arun Karthik Manohar,20,260,0,1,GT,0,0,0,0,1,1,1,S,0,0.063492063492064,0.006094702297234,0.008403361344538,0.309533333333333,0.028412600370599,0.024978466838932,0.528733333333333,0.038433647570704,0.043742405832321,0.36805,0.027896995708155,0.026479750778816,0.008888888888889,0,0.03448275862069,0.019230769230769,0.061855670103093,0.008771929824561,0.038461538461539,0.068965517241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459302325581395,0,0,0,0.272305541459075,0,0,0,0.974699680397267
6,Amit Mishra,50,50,0,1,LSG,0,0,0,1,0,1,1,S,0,0.006150793650794,0,0,0,0.011117974058061,0.027562446167097,0.1875,0.050036258158086,0.080194410692588,0.261375,0.043991416309013,0.035046728971963,0.022222222222222,0,0.012315270935961,0.012820512820513,0.051546391752577,0,0.046153846153846,0,0,0,0.459886547811994,0.413533834586466,0.45985401459854,0.50232891436761,0.46375,0.085405718541813,0.251572327044025,0.264705882352941,0.241769547325103,0.182741116751269,0.090527602363007,0.391666666666667,0.525029797377831,0.471910112359551,0.617714285714286,0.443396226415094,0.091788073675461,0.495956873315364,0.056367432150313,0.060606060606061,0.067823343848581,0.049295774647887,0.225,0.370112272551297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254805025866941
7,Ashish Nehra,50,600,1,0,,0,0,0,1,0,1,0,M,0,0.000277777777778,0,0,0,0,0,0,0.000725163161711,0.001215066828676,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.119529983792545,0.12781954887218,0.119221411192214,0.132568971694733,0.471875,0.071792113212232,0.19748427672956,0.176470588235294,0.217078189300412,0.185279187817259,0.106620492972092,0.447777777777778,0.040524433849821,0.02247191011236,0.057142857142857,0.031446540880503,0.148750929693311,0.594339622641509,0.052192066805846,0.136363636363636,0.046529968454259,0.070422535211268,0.092666666666667,0.274099883855981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001002940939489
8,Anrich Nortje,20,650,0,1,DC,0,1,0,1,0,1,1,M,0,0.001190476190476,0,0,0,0,0,0,0.006526468455402,0.015795868772783,0.173075,0,0,0,0,0,0,0.010309278350516,0,0,0,0,0,0.286061588330632,0.300751879699248,0.287104622871046,0.309208169115012,0.456875,0.073033475400339,0.323270440251572,0.352941176470588,0.335390946502058,0.286802030456853,0.087268282745977,0.422777777777778,0.110846245530393,0.146067415730337,0.157142857142857,0.09748427672956,0.062606641291508,0.597708894878706,0.2160751565762,0.227272727272727,0.206624605678233,0.253521126760563,0.23,0.293844367015099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007716944645878
9,Amit Tomar,20,50,0,0,,0,0,1,0,0,1,1,S,0,0.015873015873016,0.001875293014534,0.004801920768307,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278350516,0.004385964912281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184414975554217
10,Adam Zampa,150,150,0,1,RR,0,1,0,1,0,1,1,S,0,0.001428571428571,0,0,0,0.003088326127239,0.004306632213609,0.333333333333333,0,0.003645200486027,0,0,0,0,0,0,0,0.020618556701031,0,0,0,0,0,0.118314424635332,0.157894736842105,0.119221411192214,0.103188821211035,0.3675,0.057516448048993,0.046540880503145,0,0.040123456790124,0.030456852791878,0,0.351111111111111,0.130512514898689,0.168539325842697,0.142285714285714,0.106918238993711,0.063875399221245,0.459568733153639,0.037578288100209,0.090909090909091,0,0.035211267605634,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337850230889143
